protein2,i_redundancy,i_synergy,count_redundancy,count_synergy,i_sum,count_sum,synergy_score,synergy_fraction,independent_count,cooperative_count,total_count,independence_score
ETV6,-982.1,376.01,4458.0,1585.0,1358.1100000000001,6043.0,0.27686269889773285,0.26228694357107396,3513.0,6043.0,9556.0,0.36762243616575974
FEV,-649.83,266.99,2872.0,1180.0,916.82,4052.0,0.29121310617133134,0.2912142152023692,2539.0,4052.0,6591.0,0.3852222727962373
FOS,-1168.48,1034.05,5821.0,4977.0,2202.5299999999997,10798.0,0.4694828220273958,0.46091868864604557,14774.0,10798.0,25572.0,0.5777412795244798
FOS::JUN,-604.23,847.08,3245.0,4102.0,1451.31,7347.0,0.5836657915951796,0.5583231250850688,11003.0,7347.0,18350.0,0.5996185286103543
FOS::JUNB,-55.37,697.35,387.0,3470.0,752.72,3857.0,0.9264401105324689,0.8996629504796474,8549.0,3857.0,12406.0,0.6891020473964211
FOS::JUND,-63.29,679.72,431.0,3356.0,743.01,3787.0,0.9148194506130469,0.8861895959862688,8608.0,3787.0,12395.0,0.6944735780556676
FOSB::JUN,-831.15,235.41,4213.0,1087.0,1066.56,5300.0,0.2207189468946895,0.2050943396226415,3084.0,5300.0,8384.0,0.3678435114503817
FOSB::JUNB,-1038.57,913.58,5167.0,4445.0,1952.15,9612.0,0.46798657890018697,0.4624427798585102,11516.0,9612.0,21128.0,0.5450586898901931
FOSL1,-84.34,609.05,543.0,3055.0,693.39,3598.0,0.8783657104948153,0.849082823790995,8291.0,3598.0,11889.0,0.6973673143241652
FOSL1::JUN,-1026.13,917.12,5126.0,4510.0,1943.25,9636.0,0.4719516274282774,0.4680365296803653,12164.0,9636.0,21800.0,0.5579816513761467
FOSL1::JUNB,-57.96,576.47,394.0,2963.0,634.4300000000001,3357.0,0.9086424034172407,0.8826333035448317,7817.0,3357.0,11174.0,0.6995704313585108
FOSL1::JUND,-1027.36,869.14,5082.0,4226.0,1896.5,9308.0,0.4582863168995518,0.45401804899011605,11133.0,9308.0,20441.0,0.5446406731568906
FOSL2,-99.8,793.96,652.0,4031.0,893.76,4683.0,0.8883369137128536,0.8607730087550716,11444.0,4683.0,16127.0,0.709617411793886
FOSL2::JUN,-1065.05,1033.18,5351.0,4925.0,2098.23,10276.0,0.4924055036864405,0.47927209030751267,12350.0,10276.0,22626.0,0.5458322284097941
FOSL2::JUNB,-1141.21,933.36,5560.0,4507.0,2074.57,10067.0,0.449905281576423,0.4477004072712824,11618.0,10067.0,21685.0,0.5357620474982707
FOSL2::JUND,-1094.52,995.55,5470.0,4685.0,2090.0699999999997,10155.0,0.47632375949130895,0.46134908911866074,12052.0,10155.0,22207.0,0.5427117575539244
FOXA1,-1.6099999999999999,4.64,10.0,35.0,6.25,45.0,0.7424,0.7777777777777778,3094.0,45.0,3139.0,0.9856642242752469
FOXA2,-2.79,11.75,21.0,71.0,14.54,92.0,0.8081155433287484,0.7717391304347826,4293.0,92.0,4385.0,0.9790193842645382
FOXA3,-4.0200000000000005,10.02,26.0,61.0,14.04,87.0,0.7136752136752137,0.7011494252873564,4350.0,87.0,4437.0,0.9803921568627451
FOXD2,-0.76,7.93,7.0,57.0,8.69,64.0,0.9125431530494822,0.890625,5544.0,64.0,5608.0,0.9885877318116976
FOXD3,-4.48,19.0,35.0,116.0,23.48,151.0,0.8091993185689949,0.7682119205298014,11627.0,151.0,11778.0,0.9871794871794872
FOXH1,-0.67,0.37,5.0,3.0,1.04,8.0,0.3557692307692307,0.375,1561.0,8.0,1569.0,0.9949012109623965
FOXJ2::ELF1,-213.2,393.19,1211.0,1765.0,606.39,2976.0,0.6484110885733604,0.5930779569892473,8151.0,2976.0,11127.0,0.7325424642760852
FOXJ3,-6.15,11.05,35.0,78.0,17.200000000000003,113.0,0.6424418604651162,0.6902654867256637,6822.0,113.0,6935.0,0.9837058399423215
FOXK1,-3.11,21.21,13.0,131.0,24.32,144.0,0.8721217105263158,0.9097222222222222,4839.0,144.0,4983.0,0.971101745936183
FOXK2,-4.36,13.44,28.0,85.0,17.8,113.0,0.7550561797752808,0.7522123893805309,5243.0,113.0,5356.0,0.9789021657953697
FOXL2,-0.1,15.47,1.0,114.0,15.57,115.0,0.993577392421323,0.991304347826087,5658.0,115.0,5773.0,0.9800796812749004
FOXO1,-4.63,11.11,30.0,64.0,15.739999999999998,94.0,0.7058449809402796,0.6808510638297872,4647.0,94.0,4741.0,0.9801729592912888
FOXO1::ELF1,-128.9,268.58,762.0,1338.0,397.48,2100.0,0.6757069538089966,0.6371428571428571,8258.0,2100.0,10358.0,0.7972581579455493
FOXO1::ELK1,-161.92,318.25,943.0,1555.0,480.16999999999996,2498.0,0.6627860965907908,0.622497998398719,8950.0,2498.0,11448.0,0.7817959468902865
FOXO1::ELK3,-162.52,298.17,891.0,1445.0,460.69000000000005,2336.0,0.6472248149514858,0.6185787671232876,7380.0,2336.0,9716.0,0.7595718402634829
FOXO3,-0.1,16.54,1.0,83.0,16.64,84.0,0.9939903846153846,0.9880952380952381,5412.0,84.0,5496.0,0.9847161572052402
FOXP1,-0.58,6.359999999999999,4.0,45.0,6.9399999999999995,49.0,0.9164265129682997,0.9183673469387755,4460.0,49.0,4509.0,0.9891328454202706
GABPA,-356.4,654.66,2017.0,3157.0,1011.06,5174.0,0.6474986647676696,0.6101662156938539,14031.0,5174.0,19205.0,0.7305909919291851
GATA1,-0.1,3.48,1.0,21.0,3.58,22.0,0.9720670391061452,0.9545454545454546,2016.0,22.0,2038.0,0.9892051030421982
GATA1::TAL1,-21.3,131.79,118.0,807.0,153.09,925.0,0.8608661571624534,0.8724324324324324,6574.0,925.0,7499.0,0.8766502200293372
GATA2,-19.18,84.8,103.0,538.0,103.97999999999999,641.0,0.8155414502788998,0.8393135725429017,5189.0,641.0,5830.0,0.8900514579759863
GATA3,-12.84,71.22,83.0,456.0,84.06,539.0,0.8472519628836545,0.8460111317254174,4245.0,539.0,4784.0,0.8873327759197325
GATA5,-4.26,62.980000000000004,30.0,385.0,67.24000000000001,415.0,0.9366448542534205,0.927710843373494,2774.0,415.0,3189.0,0.8698651614926309
GATA6,-7.28,67.62,51.0,421.0,74.9,472.0,0.902803738317757,0.8919491525423728,4210.0,472.0,4682.0,0.8991883810337462
GBX2,-21.71,13.14,100.0,43.0,34.85,143.0,0.37704447632711624,0.3006993006993007,1289.0,143.0,1432.0,0.9001396648044693
GFI1,-12.74,34.410000000000004,90.0,140.0,47.150000000000006,230.0,0.7297985153764581,0.6086956521739131,1238.0,230.0,1468.0,0.8433242506811989
GFI1B,-6.87,26.39,49.0,91.0,33.26,140.0,0.7934455802766086,0.65,2200.0,140.0,2340.0,0.9401709401709402
GLI1,-7.84,16.97,45.0,111.0,24.81,156.0,0.6839983877468763,0.7115384615384616,3830.0,156.0,3986.0,0.960863020572002
GLI2,-15.25,17.62,81.0,126.0,32.870000000000005,207.0,0.5360511104350472,0.6086956521739131,3900.0,207.0,4107.0,0.9495982468955442
GLIS2,-31.84,23.02,199.0,141.0,54.86,340.0,0.41961356179365655,0.4147058823529412,2628.0,340.0,2968.0,0.8854447439353099
GLIS3,-4.390000000000001,7.140000000000001,34.0,38.0,11.530000000000001,72.0,0.619254119687771,0.5277777777777778,1600.0,72.0,1672.0,0.9569377990430622
GMEB1,-8.73,12.09,33.0,30.0,20.82,63.0,0.5806916426512968,0.47619047619047616,336.0,63.0,399.0,0.8421052631578947
GRHL1,-0.22,14.950000000000001,2.0,101.0,15.170000000000002,103.0,0.985497692814766,0.9805825242718447,1821.0,103.0,1924.0,0.9464656964656964
HAND2,-6.36,3.18,26.0,23.0,9.540000000000001,49.0,0.3333333333333333,0.46938775510204084,2285.0,49.0,2334.0,0.9790059982862039
HES1,-62.18,45.58,396.0,244.0,107.75999999999999,640.0,0.42297698589458055,0.38125,3460.0,640.0,4100.0,0.8439024390243902
HES6,-6.56,9.28,29.0,70.0,15.84,99.0,0.5858585858585859,0.7070707070707071,1001.0,99.0,1100.0,0.91
HES7,-34.29,8.82,168.0,50.0,43.11,218.0,0.2045929018789144,0.22935779816513763,1081.0,218.0,1299.0,0.8321785989222479
HEY1,-3.7300000000000004,6.32,26.0,49.0,10.05,75.0,0.6288557213930348,0.6533333333333333,1076.0,75.0,1151.0,0.9348392701998263
HIC1,-0.14,0.0,1.0,0.0,0.14,1.0,0.0,0.0,412.0,1.0,413.0,0.9975786924939467
